dataset,horizon,model,type,RMSE,MAE,R2,MAPE,time_seconds,status
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H12,Ridge,ML,13.498,7.4818,0.6531,2.7291,0.02,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H12,ElasticNet,ML,12.5987,6.0492,0.6978,2.1887,0.17,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H12,RandomForest,ML,24.0961,11.9156,-0.1055,4.4695,9.82,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H12,ExtraTrees,ML,16.2154,9.6876,0.4993,3.5418,1.16,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H12,KNN,ML,27.4623,18.475,-0.436,6.6394,1.91,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H12,CatBoost,ML,22.143,13.0803,0.0664,4.7829,1.71,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H12,LightGBM,ML,32.6667,23.3643,-1.0318,8.6384,1.95,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H12,XGBoost,ML,32.624,21.529,-1.0265,8.0241,2.22,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H12,NGBoost,ML,22.3541,13.1008,0.0485,4.7538,139.35,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H12,Prophet,ML,64.8015,58.0906,-6.9956,21.1378,11.72,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H12,SARIMAX,ML,250.6574,243.8349,-118.63,90.9602,1.51,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H12,PatchTST,ML,21.9219,11.6671,0.085,4.2743,25.73,SUCCESS
ZWave_Node_042_ZW095_Home_Energy_Meter__Gen_5_Electric_meter_watts_2,H12,TFT,ML,29.8998,16.8377,-0.7022,6.1596,21.84,SUCCESS
Wall_Plug_2_Sensor_power,H1,Naive,ML,2.7717,1.421,-0.2072,247.4475,0.06,SUCCESS
Wall_Plug_2_Sensor_power,H1,Ridge,ML,0.4354,0.0153,0.9702,1.2851,0.09,SUCCESS
Wall_Plug_2_Sensor_power,H1,ElasticNet,ML,0.5236,0.0319,0.9569,3.1632,0.73,SUCCESS
Wall_Plug_2_Sensor_power,H1,RandomForest,ML,0.8828,0.1314,0.8775,15.8007,65.92,SUCCESS
Wall_Plug_2_Sensor_power,H1,ExtraTrees,ML,0.5369,0.0888,0.9547,12.6412,17.55,SUCCESS
